"DGHV, ciphertext vector's length 16, time(s)"					
parameters	HE-com	HE-add	HE-sub	HE-mul	HE-div
L0	453.188561	703.223289	1156.41185	14752.05867	17111.75859
L1	570.402516	610.293421	1180.695937	9734.280954	11526.5294
L2	529.928262	554.654558	1084.58282	8860.186913	10548.86993
L3	628.882931	661.139066	1290.021997	10559.36337	12512.29981
L4	754.963426	798.011965	1552.975391	12743.59372	15097.02875
					
"DGHV, ciphertext vector's length 8, time(s)"					
parameters	HE-com	HE-add	HE-sub	HE-mul	HE-div
L0	203.153473	328.170945	531.324418	3375.472248	4485.000179
L1	255.69766	295.272761	550.970421	2324.818942	3171.691842
L2	240.868538	265.246978	506.115516	2100.034409	2872.089726
L3	282.994481	314.804368	597.798849	2489.75189	3403.243202
L4	335.547796	377.981583	713.529379	2985.725789	4078.461071
					
"CMNT, ciphertext vector's length 16, time(s)"					
parameters	HE-com	HE-add	HE-sub	HE-mul	HE-div
L0	487.432133	756.359819	1243.791952	15866.74454	18404.74636
L1	614.345198	657.261213	1271.606411	10482.64764	12412.76198
L2	558.656613	584.680402	1143.337015	9339.166543	11119.22504
L3	654.137976	687.695701	1341.833677	10983.60851	13014.99938
L4	783.013059	827.616596	1610.629655	13215.65755	15656.34385
					
"CMNT, ciphertext vector's length 8, time(s)"					
parameters	HE-com	HE-add	HE-sub	HE-mul	HE-div
L0	218.504037	352.968003	571.47204	3630.527656	4823.892925
L1	275.396104	317.999411	593.395515	2503.582264	3415.600723
L2	253.926985	279.607454	533.534439	2213.584303	3027.410136
L3	294.359121	327.44923	621.808351	2589.779931	3539.96864
L4	348.014273	392.004906	740.019179	3096.342667	4229.587268
					
"CNT, ciphertext vector's length 16, time(s)"					
parameters	HE-com	HE-add	HE-sub	HE-mul	HE-div
L0	301.959092	468.556796	770.515888	9829.276416	11401.53879
					
"CNT, ciphertext vector's length 8, time(s)"					
parameters	HE-com	HE-add	HE-sub	HE-mul	HE-div
L0	135.360948	218.659932	354.02088	2249.073184	2988.34906
